id,artist.name,project.name,weeks.nr1,number.collaborators,weeks.nr1.adj,award,type,city.origin,kreis.origin,state.origin,running.number
"Kalazh44,  Capital Bra   Samra feat.  Nimo   Luciano-Royal Rumble-single",Kalazh44,Royal Rumble,1,5,0.2,1 × Gold,single,Berlin,Berlin,Berlin,154
"Kalazh44,  Capital Bra   Samra feat.  Nimo   Luciano-Royal Rumble-single",Capital Bra,Royal Rumble,1,5,0.2,1 × Gold,single,Berlin,Berlin,Berlin,155
"Kalazh44,  Capital Bra   Samra feat.  Nimo   Luciano-Royal Rumble-single",Samra,Royal Rumble,1,5,0.2,1 × Gold,single,Berlin,Berlin,Berlin,156
"Kalazh44,  Capital Bra   Samra feat.  Nimo   Luciano-Royal Rumble-single",Nimo,Royal Rumble,1,5,0.2,1 × Gold,single,Leonberg,Böblingen,Baden-Württemberg,157
"Kalazh44,  Capital Bra   Samra feat.  Nimo   Luciano-Royal Rumble-single",Luciano,Royal Rumble,1,5,0.2,1 × Gold,single,Berlin,Berlin,Berlin,158
Kasimir1441 feat.  badmómzjay-Ohne Dich-single,Kasimir1441,Ohne Dich,4,2,2,1 × Platin,single,Berlin,Berlin,Berlin,159
Kasimir1441 feat.  badmómzjay-Ohne Dich-single,Badmómzjay,Ohne Dich,4,2,2,1 × Platin,single,Berlin,Berlin,Berlin,160
Katja Krasavice-Boss Bitch-album,Katja Krasavice,Boss Bitch,1,1,1,NA,album,Leipzig,Leipzig,Sachsen,161
Katja Krasavice-Eure Mami-album,Katja Krasavice,Eure Mami,1,1,1,NA,album,Leipzig,Leipzig,Sachsen,162
Katja Krasavice-Pussy Power-album,Katja Krasavice,Pussy Power,1,1,1,NA,album,Leipzig,Leipzig,Sachsen,163
Katja Krasavice-Pussy Power-single,Katja Krasavice,Pussy Power,1,1,1,NA,single,Leipzig,Leipzig,Sachsen,164
Katja Krasavice feat.  Elif-Highway-single,Katja Krasavice,Highway,1,2,0.5,NA,single,Leipzig,Leipzig,Sachsen,165
Katja Krasavice feat.  Elif-Highway-single,Elif,Highway,1,2,0.5,NA,single,Berlin,Berlin,Berlin,166
Katja Krasavice feat.  Leony-Raindrops-single,Katja Krasavice,Raindrops,1,2,0.5,NA,single,Leipzig,Leipzig,Sachsen,167
Katja Krasavice feat.  Leony-Raindrops-single,Leony,Raindrops,1,2,0.5,NA,single,Chammünster,Cham,Bayern,168
Kay One-Rich Kidz-album,Kay One,Rich Kidz,1,1,1,1× Gold,album,Ravensburg,Ravensburg,Baden-Württemberg,169
Kay One feat.  Pietro Lombardi-Señorita-single,Kay One,Señorita,3,2,1.5,1 × Diamant,single,Ravensburg,Ravensburg,Baden-Württemberg,170
Kay One feat.  Pietro Lombardi-Señorita-single,Pietro Lombardi,Señorita,3,2,1.5,1 × Diamant,single,Karlsruhe,Karlsruhe,Baden-Württemberg,171
KC Rebell-Rebellution-album,KC Rebell,Rebellution,1,1,1,NA,album,Essen,Essen,Nordrhein-Westfalen,172
KC Rebell-Fata Morgana-album,KC Rebell,Fata Morgana,1,1,1,1× Gold,album,Essen,Essen,Nordrhein-Westfalen,173
KC Rebell-Abstand-album,KC Rebell,Abstand,1,1,1,1× Gold,album,Essen,Essen,Nordrhein-Westfalen,174
KC Rebell-Hasso-album,KC Rebell,Hasso,1,1,1,NA,album,Essen,Essen,Nordrhein-Westfalen,175
KC Rebell   Summer Cem-Maximum-album,KC Rebell,Maximum,1,2,0.5,NA,album,Essen,Essen,Nordrhein-Westfalen,176
KC Rebell   Summer Cem-Maximum-album,Summer Cem,Maximum,1,2,0.5,NA,album,Mönchengladbach,Mönchengladbach,Nordrhein-Westfalen,177
KC Rebell feat.  Summer Cem   Capital Bra-DNA-single,KC Rebell,DNA,1,3,0.3333333333333333,1 × Platin,single,Essen,Essen,Nordrhein-Westfalen,178
KC Rebell feat.  Summer Cem   Capital Bra-DNA-single,Summer Cem,DNA,1,3,0.3333333333333333,1 × Platin,single,Mönchengladbach,Mönchengladbach,Nordrhein-Westfalen,179
KC Rebell feat.  Summer Cem   Capital Bra-DNA-single,Capital Bra,DNA,1,3,0.3333333333333333,1 × Platin,single,Berlin,Berlin,Berlin,180
King Orgasmus One-Manifest-album,King Orgasmus One,Manifest,1,1,1,NA,album,Berlin,Berlin,Berlin,181
KitschKrieg feat.  Jamule-Unterwegs-single,KitschKrieg,Unterwegs,1,2,0.5,1 × Platin,single,Berlin,Berlin,Berlin,182
KitschKrieg feat.  Jamule-Unterwegs-single,Jamule,Unterwegs,1,2,0.5,1 × Platin,single,Essen,Essen,Nordrhein-Westfalen,183
"KitschKrieg feat.  Trettmann,  Gringo,  Ufo361   Gzuz-Standard-single",KitschKrieg,Standard,2,4,0.5,1 × Platin,single,Berlin,Berlin,Berlin,184
"KitschKrieg feat.  Trettmann,  Gringo,  Ufo361   Gzuz-Standard-single",Trettmann,Standard,2,4,0.5,1 × Platin,single,Chemnitz,Chemnitz,Sachsen,185
"KitschKrieg feat.  Trettmann,  Gringo,  Ufo361   Gzuz-Standard-single",Gringo,Standard,2,4,0.5,1 × Platin,single,Berlin,Berlin,Berlin,186
